Date,Close,Open,High,Low,Vol,Change
5/10/2018,"1,008.39","1,020.21","1,020.77","1,008.39",294.15K,-1.49%
4/10/2018,"1,023.62","1,024.68","1,024.68","1,020.40",196.62K,0.32%
3/10/2018,"1,020.40","1,021.08","1,024.59","1,016.47",174.39K,0.16%
2/10/2018,"1,018.79","1,014.26","1,021.51","1,013.11",358.39K,0.58%
1/10/2018,"1,012.88","1,019.49","1,023.87","1,012.88",247.86K,-0.42%
28/09/2018,"1,017.13","1,019.34","1,020.84","1,015.40",247.22K,0.17%
27/09/2018,"1,015.37","1,012.57","1,017.78","1,010.49",207.78K,0.57%
26/09/2018,"1,009.61","1,008.93","1,014.86","1,007.44",261.51K,-0.11%
25/09/2018,"1,010.74","1,011.94","1,014.53","1,008.67",231.99K,-0.05%
24/09/2018,"1,011.29","1,007.52","1,011.29","1,007.45",186.72K,0.83%
21/09/2018,"1,002.97","1,006.25","1,009.10","1,000.39",302.45K,-0.18%
20/09/2018,"1,004.74",995.54,"1,004.74",995.54,204.56K,0.92%
19/09/2018,995.54,998.65,"1,001.83",994.5,244.42K,0.21%
18/09/2018,993.49,983.43,993.49,981.89,197.39K,0.60%
17/09/2018,987.61,990.65,993.83,987.02,164.61K,-0.38%
14/09/2018,991.34,987.95,995.55,987.95,178.48K,0.34%
13/09/2018,987.95,987.48,992.96,984.92,172.90K,0.10%
12/9/2018,987.01,990,994.83,987.01,184.15K,0.20%
11/9/2018,985.06,968.41,985.06,967.92,192.82K,1.52%
10/9/2018,970.34,969.74,974.59,968.19,190.67K,0.15%
7/9/2018,968.9,955.5,969.34,955.5,169.77K,1.12%
6/9/2018,958.19,968.37,970.84,957.99,160.38K,-1.06%
5/9/2018,968.44,975.05,978.78,964.8,181.15K,-0.77%
4/9/2018,975.94,990.79,992.18,975.94,185.94K,-1.37%
31/08/2018,989.54,998.55,"1,003.06",989.54,186.55K,-0.85%
30/08/2018,998.07,987.62,998.07,983.43,186.70K,1.00%
29/08/2018,988.17,995.05,995.05,987.47,176.89K,-0.71%
28/08/2018,995.19,991.92,995.29,989.81,176.27K,0.33%
27/08/2018,991.92,990.19,994.54,990.03,189.51K,0.49%
24/08/2018,987.05,985.49,989.21,982.88,180.07K,-0.03%
23/08/2018,987.36,984.12,989.45,982.48,146.85K,0.53%
22/08/2018,982.15,979.21,986.36,979.21,204.11K,0.30%
21/08/2018,979.21,968.46,979.21,968.45,200.58K,0.99%
20/08/2018,969.62,970.81,973.57,966.46,180.83K,0.08%
17/08/2018,968.88,971.4,975.52,968.88,151.07K,0.48%
16/08/2018,964.28,952.83,964.28,947.09,174.03K,0.30%
15/08/2018,961.37,980.45,982,961.37,188.94K,-1.73%
14/08/2018,978.27,979.66,981.42,974.47,177.30K,0.02%
13/08/2018,978.04,966.46,978.04,963.41,213.22K,0.99%
10/8/2018,968.47,962.03,968.47,955.04,185.25K,0.52%
9/8/2018,963.5,968.57,972.52,963.5,167.64K,-0.29%
8/8/2018,966.27,958.31,966.27,958.31,155.17K,0.99%
7/8/2018,956.79,957.7,962.02,953.71,162.14K,-0.36%
6/8/2018,960.23,960.12,962.99,955.42,229.66K,0.07%
3/8/2018,959.6,957.92,966.1,955.13,197.53K,0.63%
2/8/2018,953.55,952.75,953.55,942.39,212.46K,0.08%
1/8/2018,952.77,957.35,960.05,949.89,202.12K,-0.38%
31/07/2018,956.39,948.56,959.07,947.32,242.40K,0.70%
30/07/2018,949.73,940.76,949.73,937.69,193.34K,1.52%
27/07/2018,935.52,931.9,937.23,928.82,179.26K,0.58%
26/07/2018,930.16,928.96,930.32,920.99,195.48K,0.28%
25/07/2018,927.58,936.57,938.33,927.58,232.72K,-0.70%
24/07/2018,934.08,933.22,939.07,926.3,203.90K,-0.28%
23/07/2018,936.74,931.52,949.14,930.25,208.56K,0.36%
20/07/2018,933.39,938.83,941.94,930.26,204.00K,-1.12%
19/07/2018,943.97,942.39,947.07,939.58,199.21K,0.17%
18/07/2018,942.39,926.14,942.39,926.14,223.94K,2.29%
17/07/2018,921.27,905.32,921.27,902.02,155.86K,1.12%
16/07/2018,911.11,914.22,917.63,905.27,136.24K,0.15%
13/07/2018,909.72,904.8,912.53,899.94,140.42K,1.25%
12/7/2018,898.51,891.21,905.72,884.75,113.78K,0.60%
11/7/2018,893.16,898.08,900.16,885.09,158.65K,-1.97%
10/7/2018,911.12,919.44,921.96,911.12,118.44K,-0.44%
9/7/2018,915.12,922.72,929.5,915.12,119.91K,-0.26%
6/7/2018,917.51,891.16,921.75,884.99,159.16K,2.01%
5/7/2018,899.4,914.48,921.85,892.67,143.00K,-1.70%
4/7/2018,914.99,904.34,914.99,890.83,128.08K,0.99%
3/7/2018,906.01,945.87,946.16,906.01,180.70K,-4.34%
2/7/2018,947.15,955.18,956.78,932.66,168.21K,-1.42%
29/06/2018,960.78,955.64,962.93,950.48,146.41K,0.36%
28/06/2018,957.35,964.76,976.12,954.46,159.07K,-1.19%
27/06/2018,968.91,981.44,984.46,968.91,179.45K,-1.44%
26/06/2018,983.02,977.78,983.78,970.75,165.38K,-0.76%
25/06/2018,990.52,997.34,997.34,988.98,142.09K,0.75%
22/06/2018,983.17,963.89,983.57,959.91,132.36K,1.42%
21/06/2018,969.4,979.57,979.57,966.28,117.05K,-1.18%
20/06/2018,980.95,957.37,980.95,955.61,154.07K,1.95%
19/06/2018,962.16,972.38,972.62,941.57,250.99K,-2.55%
18/06/2018,987.34,"1,016.51","1,018.98",986.88,181.39K,-2.87%
15/06/2018,"1,016.51","1,012.71","1,018.95","1,006.75",165.43K,0.08%
14/06/2018,"1,015.72","1,030.53","1,033.46","1,015.72",166.57K,-1.44%
13/06/2018,"1,030.53","1,017.93","1,030.53","1,017.93",116.06K,0.96%
12/6/2018,"1,020.76","1,033.55","1,033.55","1,005.10",212.48K,-1.76%
11/6/2018,"1,039.02","1,033.55","1,045.60","1,029.19",185.55K,0.00%
8/6/2018,"1,039.01","1,032.59","1,039.07","1,026.94",148.15K,0.22%
7/6/2018,"1,036.69","1,038.93","1,043.71","1,030.79",173.15K,0.21%
6/6/2018,"1,034.50","1,020.97","1,034.50","1,012.98",162.08K,1.15%
5/6/2018,"1,022.74","1,013.59","1,025.26","1,011.59",212.46K,0.88%
4/6/2018,"1,013.78",994.48,"1,013.78",992.01,166.09K,2.11%
1/6/2018,992.87,973.67,995.06,973.56,204.09K,2.23%
31/05/2018,971.25,947.96,975.51,945.29,182.04K,2.40%
30/05/2018,948.5,953.41,953.41,932.26,146.25K,-0.39%
29/05/2018,952.18,925.89,958.96,916,183.99K,2.19%
28/05/2018,931.75,938.86,951.34,927.47,219.29K,-3.34%
25/05/2018,963.9,981.47,987.56,963.9,150.25K,-2.23%
24/05/2018,985.92,992.24,995.82,974.14,129.29K,-0.31%
23/05/2018,988.94,974.8,995.25,965.92,182.16K,0.31%
22/05/2018,985.91,"1,006.18","1,015.97",976.73,180.49K,-2.86%
21/05/2018,"1,014.98","1,043.82","1,043.82","1,014.98",123.09K,-2.46%
18/05/2018,"1,040.54","1,033.33","1,040.84","1,013.57",408.22K,0.96%
17/05/2018,"1,030.64","1,055.21","1,057.84","1,030.64",129.62K,-2.27%
16/05/2018,"1,054.62","1,073.50","1,073.50","1,052.18",150.05K,-1.76%
15/05/2018,"1,073.50","1,072.25","1,084.20","1,071.02",158.35K,0.61%
14/05/2018,"1,066.98","1,051.69","1,066.98","1,042.31",137.94K,2.12%
11/5/2018,"1,044.85","1,026.34","1,044.85","1,014.30",134.82K,1.55%
10/5/2018,"1,028.87","1,058.22","1,059.34","1,025.75",204.94K,-2.66%
9/5/2018,"1,056.97","1,058.33","1,069.80","1,051.79",161.33K,-0.33%
8/5/2018,"1,060.45","1,061.12","1,072.28","1,057.24",170.06K,-0.17%
7/5/2018,"1,062.26","1,034.64","1,062.26","1,028.79",155.13K,3.45%
4/5/2018,"1,026.80","1,032.12","1,037.02","1,022.10",163.07K,0.03%
3/5/2018,"1,026.46","1,018.47","1,027.38","1,003.79",203.56K,-0.25%
2/5/2018,"1,029.08","1,053.26","1,053.52","1,024.75",183.26K,-2.02%
27/04/2018,"1,050.26","1,037.36","1,054.94","1,031.89",191.60K,0.52%
26/04/2018,"1,044.86","1,082.52","1,082.52","1,039.35",208.48K,-3.32%
24/04/2018,"1,080.74","1,064.86","1,084.89","1,048.68",186.61K,0.37%
23/04/2018,"1,076.78","1,124.33","1,127.24","1,076.78",217.97K,-3.85%
20/04/2018,"1,119.86","1,095.84","1,119.86","1,078.01",214.65K,2.30%
19/04/2018,"1,094.63","1,137.99","1,137.99","1,094.63",204.01K,-3.86%
18/04/2018,"1,138.53","1,153.28","1,160.32","1,138.42",172.11K,-1.28%
17/04/2018,"1,153.28","1,149.02","1,156.70","1,139.33",175.76K,0.42%
16/04/2018,"1,148.49","1,156.54","1,159.45","1,141.81",196.99K,-0.75%
13/04/2018,"1,157.14","1,178.57","1,181.52","1,153.93",196.13K,-1.35%
12/4/2018,"1,173.02","1,162.48","1,173.02","1,153.64",179.99K,0.51%
11/4/2018,"1,167.11","1,201.51","1,202.46","1,167.11",286.08K,-2.59%
10/4/2018,"1,198.12","1,207.62","1,211.34","1,192.22",286.73K,-0.52%
9/4/2018,"1,204.33","1,202.44","1,207.45","1,197.44",251.45K,0.36%
6/4/2018,"1,199.96","1,194.15","1,202.59","1,194.15",252.06K,0.57%
5/4/2018,"1,193.17","1,197.76","1,199.15","1,186.75",241.19K,0.14%
4/4/2018,"1,191.54","1,194.26","1,200.71","1,189.46",238.69K,0.27%
3/4/2018,"1,188.29","1,197.00","1,199.93","1,185.83",255.24K,-0.70%
2/4/2018,"1,196.61","1,180.26","1,196.61","1,179.73",245.76K,1.89%
30/03/2018,"1,174.46","1,169.29","1,175.36","1,158.49",204.90K,0.64%
29/03/2018,"1,167.03","1,174.73","1,176.45","1,164.12",185.25K,-0.44%
28/03/2018,"1,172.24","1,168.87","1,179.18","1,165.71",208.55K,0.04%
27/03/2018,"1,171.73","1,187.42","1,187.42","1,169.58",237.76K,0.04%
26/03/2018,"1,171.22","1,150.51","1,176.95","1,150.51",211.70K,1.53%
23/03/2018,"1,153.59","1,154.25","1,157.20","1,138.53",261.96K,-1.60%
22/03/2018,"1,172.36","1,175.22","1,180.44","1,169.48",233.32K,0.26%
21/03/2018,"1,169.36","1,166.51","1,172.31","1,163.91",237.68K,0.86%
20/03/2018,"1,159.39","1,154.48","1,166.33","1,154.48",214.04K,0.01%
19/03/2018,"1,159.22","1,158.16","1,165.63","1,155.82",272.05K,0.79%
16/03/2018,"1,150.19","1,144.54","1,152.52","1,140.56",308.62K,1.00%
15/03/2018,"1,138.76","1,134.51","1,140.74","1,129.66",232.40K,0.06%
14/03/2018,"1,138.09","1,135.99","1,142.88","1,134.55",250.55K,0.42%
13/03/2018,"1,133.31","1,126.53","1,133.31","1,118.49",233.20K,0.62%
12/3/2018,"1,126.29","1,135.37","1,135.48","1,123.98",244.68K,0.26%
9/3/2018,"1,123.41","1,128.73","1,135.02","1,119.18",217.76K,-0.07%
8/3/2018,"1,124.15","1,112.24","1,126.35","1,111.76",200.92K,1.07%
7/3/2018,"1,112.26","1,121.99","1,126.67","1,103.29",279.08K,-0.72%
6/3/2018,"1,120.29","1,093.48","1,120.29","1,091.67",236.33K,2.45%
5/3/2018,"1,093.48","1,121.21","1,132.69","1,093.48",277.68K,-2.47%
2/3/2018,"1,121.21","1,103.16","1,121.91","1,103.16",210.07K,0.49%
1/3/2018,"1,115.79","1,121.54","1,129.30","1,110.92",227.40K,-0.51%
28/02/2018,"1,121.54","1,110.30","1,129.89","1,109.89",232.59K,0.17%
27/02/2018,"1,119.61","1,124.03","1,124.03","1,106.77",196.67K,0.46%
26/02/2018,"1,114.53","1,115.90","1,127.57","1,114.06",234.11K,1.06%
23/02/2018,"1,102.85","1,086.81","1,102.85","1,081.31",189.08K,2.49%
22/02/2018,"1,076.03","1,087.15","1,091.62","1,074.27",200.37K,-1.02%
21/02/2018,"1,087.15","1,073.33","1,092.65","1,070.43",177.57K,2.59%
13/02/2018,"1,059.73","1,053.31","1,060.48","1,052.86",174.29K,1.72%
12/2/2018,"1,041.79","1,011.64","1,041.79","1,011.64",171.10K,3.77%
9/2/2018,"1,003.94",991.09,"1,003.94",973.78,243.23K,-1.89%
8/2/2018,"1,023.25","1,031.46","1,039.61","1,023.25",181.50K,-1.66%
7/2/2018,"1,040.55","1,040.53","1,048.54","1,034.13",241.18K,2.86%
6/2/2018,"1,011.60","1,026.08","1,026.08",983.06,480.71K,-3.54%
5/2/2018,"1,048.71","1,089.62","1,090.88","1,048.71",282.04K,-5.10%
2/2/2018,"1,105.04","1,098.66","1,105.04","1,091.06",200.31K,0.49%
1/2/2018,"1,099.67","1,111.74","1,111.74","1,090.25",269.17K,-0.96%
31/01/2018,"1,110.36","1,112.23","1,128.10","1,104.98",351.21K,-0.02%
30/01/2018,"1,110.56","1,099.98","1,110.56","1,092.44",335.41K,0.07%
29/01/2018,"1,109.80","1,121.78","1,130.10","1,109.80",276.73K,-0.52%
26/01/2018,"1,115.64","1,119.78","1,123.83","1,103.06",292.97K,1.00%
25/01/2018,"1,104.57","1,098.44","1,117.08","1,098.44",510.92K,1.58%
23/01/2018,"1,087.42","1,066.86","1,088.05","1,066.61",266.11K,0.00%
22/01/2018,"1,087.42","1,066.86","1,088.05","1,066.61",266.11K,2.39%
19/01/2018,"1,062.07","1,054.33","1,067.21","1,053.37",342.47K,1.13%
18/01/2018,"1,050.25","1,028.76","1,050.25","1,020.01",281.60K,1.50%
17/01/2018,"1,034.69","1,061.98","1,064.77","1,034.69",332.61K,-2.66%
16/01/2018,"1,062.96","1,059.36","1,065.39","1,052.43",340.19K,-0.05%
15/01/2018,"1,063.47","1,049.91","1,063.47","1,043.15",292.71K,1.27%
12/1/2018,"1,050.11","1,050.17","1,057.88","1,046.38",351.97K,0.19%
11/1/2018,"1,048.17","1,037.03","1,049.73","1,031.13",314.65K,0.97%
10/1/2018,"1,038.11","1,034.64","1,045.63","1,033.01",375.09K,0.44%
9/1/2018,"1,033.56","1,027.14","1,033.56","1,017.86",320.38K,1.04%
8/1/2018,"1,022.90","1,011.36","1,022.90","1,004.89",268.79K,1.01%
5/1/2018,"1,012.65","1,020.34","1,020.60","1,010.65",284.03K,-0.70%
4/1/2018,"1,019.75","1,009.37","1,019.75","1,009.00",252.91K,1.40%
3/1/2018,"1,005.67",999.86,"1,010.21",998.41,237.30K,0.99%
2/1/2018,995.77,986.05,996.18,984.34,186.02K,1.17%
29/12/2017,984.24,978.39,990.1,976.33,211.11K,0.77%
28/12/2017,976.72,970.63,978.65,967.73,160.23K,0.85%
27/12/2017,968.46,969.72,972.6,965.18,235.83K,0.26%
26/12/2017,965.93,960.32,965.93,957.24,186.04K,0.80%
25/12/2017,958.31,954.28,958.57,952.41,168.44K,0.63%
22/12/2017,952.32,947.54,952.7,945.18,197.58K,0.66%
21/12/2017,946.06,949.45,957.56,946.06,213.62K,-0.78%
20/12/2017,953.51,945.12,958.82,945.12,220.57K,0.22%
19/12/2017,951.42,961.03,963.01,951.25,228.76K,-0.69%
18/12/2017,958.06,945.9,958.06,945.9,241.41K,2.45%
15/12/2017,935.16,933.63,939.57,932.96,239.90K,-0.07%
14/12/2017,935.85,925.51,936.29,923.99,172.03K,1.24%
13/12/2017,924.4,932.05,932.48,922.97,157.40K,-0.31%
12/12/2017,927.25,927.67,931.12,895.73,243.25K,1.07%
11/12/2017,917.45,930.17,936.93,917.45,193.98K,-2.42%
8/12/2017,940.16,938.41,944.75,930.29,197.62K,0.16%
7/12/2017,938.65,950.23,954.24,932.68,196.89K,-0.95%
6/12/2017,947.64,950.21,950.72,932.64,243.46K,-0.59%
5/12/2017,953.3,972.28,974.8,953.3,265.51K,-1.72%
4/12/2017,970.02,962.47,972.53,962.47,270.00K,1.01%
1/12/2017,960.33,952.76,960.33,952.76,227.73K,1.09%
30/11/2017,949.93,956.17,960.11,949.93,249.61K,-0.23%
29/11/2017,952.14,943.46,952.14,940.4,229.83K,1.16%
28/11/2017,941.21,939.1,943.45,933.59,359.52K,0.28%
27/11/2017,938.61,933.38,947.06,931.29,252.36K,0.32%
24/11/2017,935.57,930.52,937.54,924.65,225.73K,0.20%
23/11/2017,933.7,938.31,943.15,927,223.22K,0.11%
22/11/2017,932.66,921.13,932.66,921.13,210.14K,1.56%
21/11/2017,918.3,907.51,929.89,907.51,230.29K,1.63%
20/11/2017,903.55,890.34,903.55,889.55,175.97K,1.44%
17/11/2017,890.69,893.99,898.11,886.86,188.54K,-0.24%
16/11/2017,892.8,880.17,892.8,880.17,206.50K,1.16%
15/11/2017,882.59,877.65,884.83,876.6,200.08K,0.19%
14/11/2017,880.9,881.15,884.14,874.74,221.73K,0.18%
13/11/2017,879.34,871.7,879.34,871.7,283.76K,1.28%
10/11/2017,868.21,859.91,869.37,859.24,189.39K,0.91%
9/11/2017,860.4,862.38,864.2,858.16,164.44K,0.08%
8/11/2017,859.7,853.15,863.07,852.32,171.68K,1.10%
7/11/2017,850.33,850.2,854.6,847.88,584.72K,0.15%
6/11/2017,849.09,846.12,849.09,843.76,172.30K,0.64%
3/11/2017,843.73,833.16,843.73,831.58,203.25K,1.28%
2/11/2017,833.09,842.19,849.53,833.09,192.77K,-1.14%
1/11/2017,842.71,838.75,842.88,838.01,172.22K,0.65%
31/10/2017,837.28,844.27,845.93,837.28,192.06K,-0.94%
30/10/2017,845.2,842.92,849.3,842.92,197.30K,0.57%
27/10/2017,840.37,829.15,840.37,828.45,143.37K,1.24%
26/10/2017,830.11,829.94,834.67,823.92,187.41K,-0.07%
25/10/2017,830.69,826.08,830.69,822.83,160.17K,0.66%
24/10/2017,825.24,818.08,825.24,814.92,180.44K,0.63%
23/10/2017,820.04,826.25,827.24,818.81,210.65K,-0.82%
20/10/2017,826.84,827.93,833.57,826.84,196.37K,-0.25%
19/10/2017,828.93,828.89,831.61,825.5,169.35K,0.15%
18/10/2017,827.72,829.43,831.15,826.72,198.94K,-0.07%
17/10/2017,828.29,819.51,828.29,819.43,177.22K,1.08%
16/10/2017,819.43,821.54,823.85,819.43,168.99K,-0.19%
13/10/2017,820.95,814.6,820.95,814.2,154.13K,0.62%
12/10/2017,815.87,814.43,818.44,813.72,149.20K,0.24%
11/10/2017,813.95,811.2,815.11,811.2,180.70K,0.41%
10/10/2017,810.65,808.43,810.65,806.3,144.21K,0.21%
9/10/2017,808.96,809.61,810.75,806.78,167.58K,0.14%
6/10/2017,807.8,805.7,808.13,803.81,132.95K,0.32%
5/10/2017,805.23,806.56,810.54,805.22,148.46K,-0.05%
4/10/2017,805.66,797.39,805.66,797,118.42K,0.96%
