Date,BID,ACB,MBB,HPG,HDB,FPT,SSI,BCM,BVH,STB,CTG,GAS,GVR,MSN,MWG,PLX,POW,SAB,SHB,SSB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
3/11/2023,"41,500.00","22,050.00","17,400.00","25,100.00","18,350.00","87,000.00","28,900.00","58,500","40,400.00","28,500.00","28,000.00","79,100.00","63,900","63,900","38,950","33,100.00","11,100.00","63,900","10,700.00","24,300.00","31,000.00","16,050.00","88,900","40,500","18,600","41,600","106,500","70,000.00","19,800.00","24,400.00"
2/11/2023,"41,650.00","22,300.00","17,700.00","25,250.00","17,600.00","89,000.00","28,900.00","58,800","40,600.00","29,000.00","28,250.00","79,200.00","62,700","62,700","37,000","33,400.00","11,100.00","61,400","10,900.00","25,950.00","29,350.00","16,400.00","89,000","39,950","18,550","41,450","104,900","70,900.00","20,300.00","23,250.00"
1/11/2023,"40,000.00","21,600.00","17,200.00","23,950.00","17,250.00","85,400.00","27,150.00","58,000","39,000.00","27,650.00","27,400.00","76,900.00","59,500","59,500","35,100","32,300.00","10,700.00","57,400","10,350.00","25,900.00","28,200.00","15,800.00","87,800","38,450","18,000","40,400","104,400","70,400.00","19,800.00","22,700.00"
31/10/2023,"40,200.00","21,400.00","17,100.00","23,000.00","17,200.00","83,000.00","25,750.00","58,600","38,900.00","27,000.00","27,700.00","76,600.00","58,200","58,200","37,700","31,900.00","10,600.00","56,700","10,100.00","25,800.00","27,700.00","15,800.00","86,800","39,000","17,900","40,500","99,000","68,000.00","20,000.00","22,200.00"
30/10/2023,"41,000.00","21,300.00","17,000.00","23,000.00","17,200.00","85,000.00","27,500.00","59,500","39,150.00","27,000.00","27,650.00","76,600.00","58,000","58,000","40,500","32,850.00","10,850.00","60,800","10,150.00","25,350.00","28,100.00","16,000.00","85,900","39,200","17,600","41,500","98,000","67,600.00","19,900.00","23,100.00"
27/10/2023,"42,000.00","21,550.00","17,450.00","23,350.00","17,250.00","87,000.00","29,450.00","59,000","39,500.00","28,700.00","28,200.00","77,600.00","57,800","57,800","42,000","33,000.00","11,000.00","63,100","10,300.00","25,550.00","29,550.00","16,200.00","85,000","39,200","18,100","41,600","99,800","68,000.00","20,200.00","22,900.00"
26/10/2023,"40,550.00","21,100.00","17,200.00","22,800.00","17,000.00","86,800.00","28,700.00","59,600","39,050.00","28,100.00","28,350.00","75,500.00","61,400","61,400","42,000","32,900.00","10,800.00","66,200","10,050.00","25,500.00","29,800.00","16,000.00","84,500","41,800","17,350","41,600","99,800","67,000.00","20,200.00","24,600.00"
25/10/2023,"40,750.00","21,900.00","17,800.00","24,050.00","17,500.00","90,900.00","30,800.00","62,600","40,850.00","29,550.00","29,000.00","80,400.00","66,000","66,000","43,500","35,350.00","11,200.00","69,200","10,550.00","25,900.00","31,200.00","16,750.00","85,800","44,900","18,300","44,700","102,800","69,000.00","21,000.00","26,450.00"
24/10/2023,"41,300.00","21,900.00","17,900.00","24,000.00","17,550.00","92,000.00","31,050.00","63,400","40,750.00","30,000.00","29,500.00","81,200.00","66,900","66,900","43,000","35,500.00","11,200.00","69,100","10,600.00","25,800.00","31,350.00","16,800.00","86,000","44,600","18,500","43,450","103,600","70,300.00","21,050.00","26,600.00"
23/10/2023,"40,300.00","21,800.00","17,800.00","24,000.00","17,500.00","91,000.00","30,600.00","63,600","40,500.00","29,700.00","29,300.00","80,600.00","66,000","66,000","43,000","35,350.00","11,050.00","67,800","10,300.00","24,800.00","30,900.00","16,450.00","84,500","44,500","18,050","43,400","103,500","70,200.00","21,050.00","26,000.00"
